entry_id,entry_type,relative_path,symbol_or_route,current_owner,business_semantics,phase4_carrier,classification_status,strategy,target_path,target_capability,blocking_tests,drop_phase,risk,notes
legacy:src/app/workline/services/write_back_service.py:_failure_timeline_payload,service,src/app/workline/services/write_back_service.py,_failure_timeline_payload,workline,执行状态，目标迁 runtime/orchestration,False,final,rebuild,src/app/runtime/orchestration/services/,RuntimeTimelineQueryService.query,tests/architecture/test_runtime_inbox_state_machine_guardrail.py;tests/contracts/workline/test_runtime_snapshot_contract.py,phase2,HIGH,
legacy:src/app/workline/services/write_back_service.py:_apply_failure_transition,service,src/app/workline/services/write_back_service.py,_apply_failure_transition,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/write_back_service.py:_emit_completion_timeline,service,src/app/workline/services/write_back_service.py,_emit_completion_timeline,workline,执行状态，目标迁 runtime/orchestration,False,final,rebuild,src/app/runtime/orchestration/services/,RuntimeTimelineQueryService.query,tests/architecture/test_runtime_inbox_state_machine_guardrail.py;tests/contracts/workline/test_runtime_snapshot_contract.py,phase2,HIGH,
legacy:src/app/workline/services/write_back_service.py:_apply_completion_transition,service,src/app/workline/services/write_back_service.py,_apply_completion_transition,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/device_command_gateway.py:DeviceCommandGateway,service,src/app/workline/services/device_command_gateway.py,DeviceCommandGateway,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/device_command_gateway.py:_DeviceCommandGovernanceError,service,src/app/workline/services/device_command_gateway.py,_DeviceCommandGovernanceError,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/device_command_gateway.py:_build_device_command_log_envelope,service,src/app/workline/services/device_command_gateway.py,_build_device_command_log_envelope,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/device_command_gateway.py:_build_device_status_precheck_detail,service,src/app/workline/services/device_command_gateway.py,_build_device_status_precheck_detail,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/device_command_gateway.py:_build_device_status_url,service,src/app/workline/services/device_command_gateway.py,_build_device_status_url,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/device_command_gateway.py:_enforce_device_command_governance,service,src/app/workline/services/device_command_gateway.py,_enforce_device_command_governance,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/device_command_gateway.py:_ensure_realtime_device_status_ready,service,src/app/workline/services/device_command_gateway.py,_ensure_realtime_device_status_ready,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/device_command_gateway.py:_extract_device_status_state,service,src/app/workline/services/device_command_gateway.py,_extract_device_status_state,workline,none,False,final,keep-contract,,,tests/contracts/workline/;tests/architecture/,phase5-tech,LOW,
legacy:src/app/workline/services/device_command_gateway.py:_get_device_for_command_dispatch,service,src/app/workline/services/device_command_gateway.py,_get_device_for_command_dispatch,workline,执行状态，目标迁 runtime/orchestration,False,final,rebuild,src/app/runtime/orchestration/ports/device_command.py,DeviceCommandPort.dispatch,tests/architecture/test_runtime_inbox_state_machine_guardrail.py;tests/contracts/workline/test_runtime_snapshot_contract.py,phase2,HIGH,
legacy:src/app/workline/services/device_command_gateway.py:_is_same_session_current_command,service,src/app/workline/services/device_command_gateway.py,_is_same_session_current_command,workline,执行状态，目标迁 runtime/orchestration,False,final,rebuild,src/app/runtime/orchestration/ports/device_command.py,DeviceCommandPort.dispatch,tests/architecture/test_runtime_inbox_state_machine_guardrail.py;tests/contracts/workline/test_runtime_snapshot_contract.py,phase2,HIGH,
legacy:src/app/workline/services/device_command_gateway.py:_mark_device_command_failed_if_dispatch_exhausted,service,src/app/workline/services/device_command_gateway.py,_mark_device_command_failed_if_dispatch_exhausted,workline,执行状态，目标迁 runtime/orchestration,False,final,rebuild,src/app/runtime/orchestration/ports/device_command.py,DeviceCommandPort.dispatch,tests/architecture/test_runtime_inbox_state_machine_guardrail.py;tests/contracts/workline/test_runtime_snapshot_contract.py,phase2,HIGH,
legacy:src/app/workline/services/device_command_gateway.py:_mark_outbox_blocked_by_workline_state,service,src/app/workline/services/device_command_gateway.py,_mark_outbox_blocked_by_workline_state,workline,执行状态，目标迁 runtime/orchestration,False,final,rebuild,src/app/runtime/orchestration/ports/device_command.py,DeviceCommandPort.dispatch,tests/architecture/test_runtime_inbox_state_machine_guardrail.py;tests/contracts/workline/test_runtime_snapshot_contract.py,phase2,HIGH,
